location,exposure,site,depth,quadrat_number2-highlight ones that needto be checked (weren't redone in 2023),year,surveyed_both_years,branching_coral,massive_coral,encrusting_coral,foliose_coral,plate_coral,soft_coral,solitary_coral,sponge,ascidian,macroalgae,rock_w_turf_new,rock_w_cca_new,rubble,sand,silt,standing_dead_coral,other
Keppels,Exposed,Red Beach,Shallow,124,2021,no,0,0,0,0,0,2.5,0,0.5,0,73,0,0,24,0,0,0,0
Keppels,Exposed,Red Beach,Shallow,125,2021,no,0,0,0.5,0,0,0.5,0,1,0,78,0,0,20,0,0,0,0
Keppels,Sheltered,Clam Bay,Shallow,41,2021,no,0,0,0,0,0,0,0,0,0,77,0,0,23,0,0,0,0
Keppels,Sheltered,Clam Bay,Shallow,111,2021,no,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0,0,0
Keppels,Sheltered,Clam Bay,Shallow,115,2021,no,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0,0,0
Keppels,Sheltered,Clam Bay,Shallow,121,2021,no,0,0,0,0,0,0,0,0,0,78,0,0,22,0,0,0,0
Keppels,Sheltered,Halfway Sheltered,Shallow,25,2021,no,1,0,0,0,0,0,0,0,0,72,0,0,27,0,0,0,0
Keppels,Sheltered,Halfway Sheltered,Shallow,33,2021,no,0,0,0,0,0,0,0,0,0,84,0,0,16,0,0,0,0
Keppels,Sheltered,Halfway Sheltered,Shallow,146,2021,no,0,0,0,0,0,0,0,0.5,0,44,0,0,55.5,0,0,0,0
Keppels,Sheltered,Halfway Sheltered,Shallow,147,2021,no,1,0,0,0,0,0,0,1,0,87,0,0,11,0,0,0,0
Keppels,Sheltered,Humpy Sheltered,Shallow,21,2021,no,0,0,0,0,0,0,0,0,0,81,0,0,19,0,0,0,0
Keppels,Sheltered,Humpy Sheltered,Shallow,22,2021,no,0,0,0,0,0,0,0,0,0,83,0,0,17,0,0,0,0
Keppels,Sheltered,Humpy Sheltered,Shallow,31,2021,no,0,0,0,0,0,0,0,0,0,67,0,0,33,0,0,0,0
Keppels,Sheltered,Humpy Sheltered,Shallow,35,2021,no,0,0,0,0,0,0,0,0,0,39,0,0,61,0,0,0,0
